Sr.No,Address,City,State_code,Country,Rental_Price,Deposit
36,"2000 Cody Court, Austin, TX 78704, USA",Austin,TX,USA,149616,
37,404 Rio Grande Street Unit Alamo-#221,Austin,TX,USA,286183,
38,1615 Plume Grass Place,Austin,TX,USA,162084,
39,"6817 Gabion Drive, Austin, TX 78749, USA",Austin,TX,USA,245204,
40,"10612 Topperwein Drive, Austin, TX 78758, USA",Austin,TX,USA,137148,
41,311 Bowie Street Unit B8,Austin,TX,USA,436297,
42,"2201 Leon Street, Austin, TX 78705, USA",Austin,TX,USA,166157,
43,"2505 Parker Ln, Unit B",Austin,TX,USA,207800,207800
44,"3002 Whiteway Drive, Austin, TX 78757, USA",Austin,TX,USA,448848,
45,"4525 Depew Avenue, Austin, TX 78751, USA",Austin,TX,USA,498720,
46,9201 Quail Wood Dr,Austin,TX,USA,224009,224009
47,"3529 North Hills Drive, Austin, TX 78731, USA",Austin,TX,USA,143382,
48,"Austin, TX",Austin,TX,USA,471291,
49,615 West 7th Street Unit The Zilker - Ter,Austin,TX,USA,325997,
50,"4005 Licorice Lane, Williamson County, TX 78728, USA",Austin,TX,USA,519500,
51,"7415 Shadywood Drive, Austin, TX 78745, USA",Austin,TX,USA,270140,
52,"Austin, TX",Austin,TX,USA,4862520,
53,"10927 Railway Lane, Austin, TX 78717, USA",Austin,TX,USA,199488,
54,"Austin, TX",Austin,TX,USA,369053,
55,9815 Quercia Drive,Austin,TX,USA,232736,232736
56,"1007 East Riverside Drive, Austin, TX 78767, USA",Austin,TX,USA,241048,
57,"Austin, TX",Austin,TX,USA,4156832,
58,"Austin, TX",Austin,TX,USA,2992320,
59,"1606 Nickerson Street, Austin, TX 78704, USA",Austin,TX,USA,151694,
60,"912 West Village Lane, Austin, TX 78758, USA",Austin,TX,USA,166240,
61,2921 East 17th Street,Austin,TX,USA,43140,
62,"Austin, TX",Austin,TX,USA,563554,
63,"1805 Mohle Drive, Austin, TX 78799, USA",Austin,TX,USA,149616,
64,"17408 Rollingway Drive, Brushy Creek, TX 78681, USA",Austin,TX,USA,141304,
65,"469 Rawhide Loop, Round Rock, TX 78681, USA",Austin,TX,USA,128836,
66,"Learning Tree Day School, 2106 Rawhide Drive, Round Rock, TX 78681, USA",Austin,TX,USA,140889,
67,509 Vermont Road Unit B 1,Austin,TX,USA,220268,24936
68,"411 Crater Lake Drive, Pflugerville, TX 78660, USA",Austin,TX,USA,187020,
69,"13705 Lubeck Drive, Austin, TX 78766, USA",Austin,TX,USA,187020,
70,"3203 East 16th Street, Austin, TX 78702, USA",Austin,TX,USA,178708,
71,"3115 South 1st Street, Austin, TX 78704, USA",Austin,TX,USA,107641,
72,3100 Kramer Lane,Austin,TX,USA,140390,
73,"Austin, TX",Austin,TX,USA,216944,
74,12030 Scribe Drive,Austin,TX,USA,240633,240633
75,"3802 Stevenson Avenue, Austin, TX 78703, USA",Austin,TX,USA,1246800,
76,"Austin, TX",Austin,TX,USA,316688,
77,"12341 Granton Cove, Austin, TX 78754, USA",Austin,TX,USA,182864,
78,"6903 Deatonhill Drive, Austin, TX 78715, USA",Austin,TX,USA,112212,
79,"907 Yabers Court, Hornsby Bend, Travis County, TX 78725, USA",Austin,TX,USA,155850,
80,"7906 West Gate Boulevard, Austin, TX 78715, USA",Austin,TX,USA,132992,
81,6212 Belgrave Drive,Austin,TX,USA,207800,207800
82,"Austin, TX",Austin,TX,USA,668285,
83,"Austin, TX",Austin,TX,USA,324168,
84,"Austin, TX",Austin,TX,USA,254348,
85,"808 West 32nd Street, Austin, TX 78705, USA",Austin,TX,USA,340792,
86,"Austin, TX",Austin,TX,USA,1072248,
87,"711 West 26th Street, Austin, TX 78705, USA",Austin,TX,USA,195332,
88,"5700 Avenue D, Austin, TX 78752, USA",Austin,TX,USA,328324,
89,"Austin, TX",Austin,TX,USA,1097184,
90,"Austin, TX",Austin,TX,USA,374040,
91,"1304 Summit Street, Austin, TX 78741, USA",Austin,TX,USA,157928,
92,"Austin, TX",Austin,TX,USA,2610800,
93,"4010 Clawson Road, Austin, TX 78704, USA",Austin,TX,USA,299232,
94,"unnamed road, Cedar Park, TX 78613, USA",Austin,TX,USA,290920,
95,"4307 Eck Lane, Hudson Bend, Travis County, TX 78734, USA",Austin,TX,USA,178708,
96,"1415 Amber Day Drive, Pflugerville, TX 78660, USA",Austin,TX,USA,203644,
97,"Austin, TX",Austin,TX,USA,516176,
98,"Austin, TX",Austin,TX,USA,261828,
99,"Austin, TX, US",Austin,TX,USA,120524,
100,"Austin, TX",Austin,TX,USA,655817,
101,"2815 Rio Grande Street, Austin, TX 78705, USA",Austin,TX,USA,93510,
102,"State Highway 130, Pflugerville, TX 78660, USA",Austin,TX,USA,286764,
103,"unnamed road, Travis County, TX 78732, USA",Austin,TX,USA,261828,
104,"Austin, TX",Austin,TX,USA,393989,
105,"4714 Greenridge Terrace, Austin, TX 78745, USA",Austin,TX,USA,174552,
106,"4813 Mondonedo Cove, Travis County, TX 78736, USA",Austin,TX,USA,1039000,
107,"360 Condominiums, 360 Nueces Street, Austin, TX 78701, USA",Austin,TX,USA,265984,
108,"Stillhouse Hollow Nature Preserve, 7810 Sterling Drive, Austin, TX 78731, USA",Austin,TX,USA,187020,
109,"3417 Savage Springs Drive, Austin, TX 78754, USA",Austin,TX,USA,187020,
110,"The Texan Shoal Creek, 2502 Leon Street, Austin, TX 78799, USA",Austin,TX,USA,124265,
111,"Austin, TX",Austin,TX,USA,753068,
112,"Austin, TX",Austin,TX,USA,192008,
113,"Austin, Milwood, TX, US",Austin,TX,USA,82456,
114,"Penthouse Condos, 1212 Guadalupe Street, Austin, TX 78701, USA",Austin,TX,USA,157513,
115,"1628 Randolph Ridge Trail, Austin, TX 78746, USA",Austin,TX,USA,539865,
116,"5605 1/2 Jim Hogg Avenue, Austin, TX 78756, USA",Austin,TX,USA,137148,
117,"5516 Pincushion Daisy Drive, Austin, TX 78739, USA",Austin,TX,USA,257672,
118,"11405 Georgian Oaks Drive, Austin, TX 78739, USA",Austin,TX,USA,297570,
119,"Austin, TX",Austin,TX,USA,468797,
120,"1533 Jerusalem Drive, Round Rock, TX 78664, USA",Austin,TX,USA,174137,
121,"1709 Azores Drive, Travis County, TX 78691, USA",Austin,TX,USA,174552,
122,"6504 Routenburn Street, Austin, TX 78754, USA",Austin,TX,USA,199488,
123,"1738 Rutland Drive, Austin, TX 78758, USA",Austin,TX,USA,224424,
124,"5328 Balcones Drive, Austin, TX 78731, USA",Austin,TX,USA,147538,
125,"501 West 26th Street, Austin, TX 78705, USA",Austin,TX,USA,130914,
126,"805 East Oltorf Street, Austin, TX 78704, USA",Austin,TX,USA,195332,
127,"Austin, Indian Oaks, TX, US",Austin,TX,USA,75224,
128,"Texas North Campus, 5117 North Lamar Boulevard, Austin, TX 78756, USA",Austin,TX,USA,224009,
129,"Barron Elementary School, Charles Dickens Drive, Travis County, TX 78764, USA",Austin,TX,USA,162084,
130,"17309 Bishopsgate Drive, Pflugerville, TX 78660, USA",Austin,TX,USA,170396,
131,"Austin, TX",Austin,TX,USA,1209396,
132,"Austin, TX",Austin,TX,USA,441368,
133,"Austin, TX",Austin,TX,USA,900190,
134,110 San Antonio Street Unit APT 201-2E,Austin,TX,USA,415600,
135,"Austin, TX",Austin,TX,USA,184527,
136,"2608 East 6th Street, Austin, TX 78702, USA",Austin,TX,USA,248945,
137,"Austin, TX",Austin,TX,USA,311700,
138,"Austin, TX",Austin,TX,USA,1992387,
139,"Austin, Indian Oaks, TX, US",Austin,TX,USA,121356,
140,"Pflugerville, TX",Austin,TX,USA,748080,
141,"2101 Rivers Edge Way, Austin, TX 78741, USA",Austin,TX,USA,238970,
142,"Austin, TX",Austin,TX,USA,1246800,
143,"5603 Ridge Oak Drive, Austin, TX 78731, USA",Austin,TX,USA,315856,
144,"Austin, TX",Austin,TX,USA,172059,
145,"2512 Enfield Road, Austin, TX 78703, USA",Austin,TX,USA,220268,
146,"Austin, TX",Austin,TX,USA,349104,
147,"3304 Dalton Street, Austin, TX 78745, USA",Austin,TX,USA,265153,
148,"8510 Dryfield Drive, Austin, TX 78758, USA",Austin,TX,USA,128836,
149,"3206 Tom Green Street, Austin, TX 78705, USA",Austin,TX,USA,141304,
150,"2216 San Gabriel Street, Austin, TX 78705, USA",Austin,TX,USA,199073,
151,"13450 Moscow Trail, Williamson County, TX 78729, USA",Austin,TX,USA,332480,
152,"13916 Lubeck Drive, Austin, TX 78766, USA",Austin,TX,USA,197410,
153,"2501 Audubon Place, Austin, TX 78741, USA",Austin,TX,USA,187020,
154,"Austin, TX",Austin,TX,USA,984972,
155,"Austin, TX",Austin,TX,USA,172059,
156,"1306 Ruth Avenue, Austin, TX 78757, USA",Austin,TX,USA,207800,
157,"11017 Rio Vista Drive, Austin, TX 78726, USA",Austin,TX,USA,224009,
158,"6004 Woodview Avenue, Austin, TX 78756, USA",Austin,TX,USA,332480,
159,"910 West 25th Street, Austin, TX 78705, USA",Austin,TX,USA,224009,
160,"954 Heritage Springs Trail, Round Rock, TX 78664, USA",Austin,TX,USA,83120,
161,"706 West 24th Street, Austin, TX 78705, USA",Austin,TX,USA,139226,
162,"Austin, TX",Austin,TX,USA,5982147,
163,"8902 Schick Road, Austin, TX 78729, USA",Austin,TX,USA,137148,
164,"397 San Jacinto Boulevard, Austin, TX 78701, USA",Austin,TX,USA,249360,
165,"3716 Black Granite Drive, Austin, TX 78744, USA",Austin,TX,USA,248945,
166,"Ranchland Hill Vista, Jonestown, Travis County, TX, USA",Austin,TX,USA,706520,
167,"4159 Steck Avenue, Austin, TX 78759, USA",Austin,TX,USA,220268,
168,"44 East, 44 East Avenue, Austin, TX 78701, USA",Austin,TX,USA,465057,
169,"2601 Penny Lane, Austin, TX 78757, USA",Austin,TX,USA,149616,
170,"Seaholm Residences, 222 West Avenue, Austin, TX 78701, USA",Austin,TX,USA,307129,
171,"1307 Kinney Avenue, Austin, TX 78704, USA",Austin,TX,USA,224424,
172,"Austin, TX",Austin,TX,USA,1568475,
173,"Austin, TX",Austin,TX,USA,134655,
174,"6831 Ranchito Drive, Austin, TX 78744, USA",Austin,TX,USA,207800,
175,"Austin, TX",Austin,TX,USA,623400,
176,"9015 Cattle Baron Path, Austin, TX 78747, USA",Austin,TX,USA,182864,
177,"2313 Centennial Loop, Round Rock, TX 78665, USA",Austin,TX,USA,265984,
178,"711 West 26th Street, Austin, TX 78705, USA",Austin,TX,USA,165825,
179,"4124 Steep Rock Lane, Mesa North, Travis County, TX 78732, USA",Austin,TX,USA,374040,
180,"1803 Haskell Street, Austin, TX 78702, USA",Austin,TX,USA,382352,
181,"Austin, TX",Austin,TX,USA,296739,
182,"Austin, TX, US",Austin,TX,USA,89354,
183,"Austin, TX",Austin,TX,USA,438874,
184,"1804 Capital Parkway, Austin, TX 78746, USA",Austin,TX,USA,182864,
185,"Austin, TX",Austin,TX,USA,2034778,
186,"unnamed road, Cedar Park, TX 78717, USA",Austin,TX,USA,174137,
187,"70 Rainey, 70 Rainey Street, Austin, TX 78701, USA",Austin,TX,USA,457160,
188,"304 West William Cannon Drive, Austin, TX 78745, USA",Austin,TX,USA,166240,
189,3233 Harmon Avenue Unit A2,Austin,TX,USA,165243,
190,"Austin, TX",Austin,TX,USA,398976,
191,"304 East 33rd Street, Austin, TX 78705, USA",Austin,TX,USA,107641,
192,"Austin, TX",Austin,TX,USA,533631,
193,"Frankel Loop, Austin, TX 78691, USA",Austin,TX,USA,207385,
194,"15221 Shell Bark Cove, Austin, TX 78724, USA",Austin,TX,USA,169981,
195,"1411 Cometa Street, Austin, TX 78721, USA",Austin,TX,USA,349104,
196,"1010 West 26th Street, Austin, TX 78799, USA",Austin,TX,USA,110134,
197,"Austin, TX",Austin,TX,USA,1007415,
198,"1908 Pershing Drive, Austin, TX 78722, USA",Austin,TX,USA,265984,
199,"2813 Salado Street, Austin, TX 78705, USA",Austin,TX,USA,311700,
200,"502 West 35th Street, Austin, TX 78705, USA",Austin,TX,USA,82705,
201,"3005 East 14th Street, Austin, TX 78702, USA",Austin,TX,USA,299232,
202,"10605 Coreopsis Drive, Travis County, TX 78733, USA",Austin,TX,USA,648336,
203,"5702 Taylor Draper Cove, Austin, TX 78859, USA",Austin,TX,USA,199488,
204,"909 Reinli Street, Austin, TX 78751, USA",Austin,TX,USA,99744,
205,36 Comal Street Unit B2-2-573,Austin,TX,USA,237308,
206,"10101 West Parmer Lane, Austin, TX 78717, USA",Austin,TX,USA,525153,
207,"1400 West 51st Street, Austin, TX 78756, USA",Austin,TX,USA,187020,
208,"Grenadine Bloom Bend, Travis County, TX 78617, USA",Austin,TX,USA,170396,
209,"Austin, TX",Austin,TX,USA,498720,
210,"Austin, Seaholm, TX, US",Austin,TX,USA,138395,
211,"312 West 37th Street, Austin, TX 78705, USA",Austin,TX,USA,448848,
212,"Cambridge Tower, 1801 Lavaca Street, Austin, TX 78701, USA",Austin,TX,USA,286764,
213,"Austin, TX",Austin,TX,USA,728132,
214,"2701 Alderwood Drive, Austin, TX 78715, USA",Austin,TX,USA,195332,
215,"3211 Bryker Drive, Austin, TX 78703, USA",Austin,TX,USA,315441,
216,"7008 Bennett Avenue, Austin, TX 78752, USA",Austin,TX,USA,248945,
217,"Austin, TX",Austin,TX,USA,623400,
218,"Austin, TX",Austin,TX,USA,316688,
219,"The Independent, 301 West Avenue, Austin, TX 78701, USA",Austin,TX,USA,498720,
220,"Austin, TX",Austin,TX,USA,281777,
221,"Austin, TX",Austin,TX,USA,912658,
222,421 West 3rd Street Unit Vaughn,Austin,TX,USA,314942,
223,"7008 Bennett Avenue, Austin, TX 78752, USA",Austin,TX,USA,190761,
224,"70 Rainey, 70 Rainey Street, Austin, TX 78701, USA",Austin,TX,USA,490408,
225,"Austin, TX",Austin,TX,USA,299232,
226,"Austin, TX",Austin,TX,USA,329156,
227,"4801 South Congress Avenue, Austin, TX 78745, USA",Austin,TX,USA,199488,
228,"1190 Ridge Drive, Austin, TX 78721, USA",Austin,TX,USA,206554,
229,"Austin, TX",Austin,TX,USA,329156,
230,"1701 Dartmouth Avenue, Austin, TX 78757, USA",Austin,TX,USA,226502,
231,"Austin, TX",Austin,TX,USA,3648137,
232,1512 Luray Drive,Austin,TX,USA,166240,
233,"Austin, TX",Austin,TX,USA,231905,
234,"5504 Chadwyck Drive, Austin, TX 78723, USA",Austin,TX,USA,211956,
235,"7021 Riverton Drive, Williamson County, TX 78729, USA",Austin,TX,USA,232736,
236,"18700 Chrighton Castle Bend, Unit 2301N",Austin,TX,USA,157513,
237,"Penthouse Condos, 1212 Guadalupe Street, Austin, TX 78701, USA",Austin,TX,USA,831200,
238,1631 Payton Falls Drive,Austin,TX,USA,182864,166240
239,"Austin, TX",Austin,TX,USA,2331516,
240,"6636 West William Cannon Drive, Austin, TX 78735, USA",Austin,TX,USA,106145,Rent: $ a month+Utilities
241,"714 East 45th Street, Austin, TX 78751, USA",Austin,TX,USA,457160,
242,"2921 Headly Drive, Austin, TX 78715, USA",Austin,TX,USA,232736,
243,"Austin, TX, 78757",Austin,TX,USA,102238,
244,"Austin, TX",Austin,TX,USA,331649,
245,"unnamed road, Travis County, TX 78725, USA",Austin,TX,USA,191176,
246,36 Comal Street Unit C1-2-189,Austin,TX,USA,332231,
247,"Austin, TX",Austin,TX,USA,251854,
248,"5113 McDade Drive, Austin, TX 78735, USA",Austin,TX,USA,311700,
249,300 West Avenue Unit EL3,Austin,TX,USA,159757,
250,"737 East 45½ Street, Austin, TX 78751, USA",Austin,TX,USA,132992,
251,"10612 Marbury Court, Austin, TX 78726, USA",Austin,TX,USA,270140,
252,"Austin, TX",Austin,TX,USA,872760,
253,"711 West 26th Street, Austin, TX 78705, USA",Austin,TX,USA,195332,
254,"Austin, TX",Austin,TX,USA,279284,
255,"Austin, TX",Austin,TX,USA,261828,
256,"12616 Pony Lane, Austin, TX 78727, USA",Austin,TX,USA,232736,
257,"Austin, TX",Austin,TX,USA,356585,
258,"Greenwood Towers, 1800 Lavaca Street, Austin, TX 78701, USA",Austin,TX,USA,187020,
259,"Austin, TX",Austin,TX,USA,1675700,
260,"Round Rock, TX",Austin,TX,USA,481265,
261,"2529 Rio Grande Street, Austin, TX 78705, USA",Austin,TX,USA,187020,
262,"4016 Maplewood Avenue, Austin, TX 78722, USA",Austin,TX,USA,191176,
263,"Oak Haven Massage, 9707 Anderson Mill Road, Austin, TX 78750, USA",Austin,TX,USA,187020,
264,"Austin, TX",Austin,TX,USA,496227,
265,"Buffalo, NY",Buffalo,NY,USA,421419,
266,"Buffalo, NY",Buffalo,NY,USA,670779,
267,"82 Hazelwood Avenue, Buffalo, NY 14215, USA",Buffalo,NY,USA,83120,
268,"439 University Avenue, Unit Upper Unit",Buffalo,NY,USA,128836,128836
269,"Buffalo, NY",Buffalo,NY,USA,314194,
270,"1017 Lafayette Avenue, Buffalo, NY 14209, USA",Buffalo,NY,USA,191176,
271,"Buffalo, NY",Buffalo,NY,USA,1762976,
272,"800 West Ferry Street, Buffalo, NY 14222, USA",Buffalo,NY,USA,112212,
273,"351 Roesch Avenue, Buffalo, NY 14207, USA",Buffalo,NY,USA,74808,
274,"200 Abbott Road, Buffalo, NY 14220, USA",Buffalo,NY,USA,108056,
275,"1263 East Lovejoy Street, Buffalo, NY 14206, USA",Buffalo,NY,USA,99744,
276,"Buffalo, NY",Buffalo,NY,USA,196995,
277,"78 Mariemont Ave, Unit Lower",Buffalo,NY,USA,112212,112212
278,"Buffalo, NY",Buffalo,NY,USA,319181,
279,"945 West Ferry Street, Buffalo, NY 14209, USA",Buffalo,NY,USA,140889,
280,"41 Mariner Street, Buffalo, NY 14201, USA",Buffalo,NY,USA,99744,
281,"Buffalo, NY",Buffalo,NY,USA,209463,
282,"City Centre Condominiums, Main Street, Buffalo, NY 14264, USA",Buffalo,NY,USA,290920,
283,"1119 Sycamore Street, Buffalo, NY 14212, USA",Buffalo,NY,USA,207800,
284,"Buffalo, NY",Buffalo,NY,USA,1311634,
285,"77 North Johnson Park, Buffalo, NY 14201, USA",Buffalo,NY,USA,66496,
286,"481 Franklin Street, Buffalo, NY 14202, USA",Buffalo,NY,USA,103900,
287,219 Wyoming Ave.,Buffalo,NY,USA,103900,103900
288,"68 Sunset Street, Buffalo, NY 14207, USA",Buffalo,NY,USA,108056,
289,"42 Alden Avenue, Buffalo, NY 14216, USA",Buffalo,NY,USA,174552,
290,"370 Bryant Street, Buffalo, NY 14222, USA",Buffalo,NY,USA,103900,
291,"290 South Elmwood Avenue, Buffalo, NY 14201, USA",Buffalo,NY,USA,78964,
292,"561 Ontario Street, Buffalo, NY 14207, USA",Buffalo,NY,USA,83120,
293,"Buffalo, NY",Buffalo,NY,USA,336636,
294,"147 West Hazeltine Avenue, Buffalo, NY 14217, USA",Buffalo,NY,USA,207385,
295,"63 Kingston Place, Buffalo, NY 14210, USA",Buffalo,NY,USA,91432,
296,"Canisius College, West Delavan Avenue, Buffalo, NY 14213, USA",Buffalo,NY,USA,137148,
297,"Buffalo, NY",Buffalo,NY,USA,423912,
298,"79 Commonwealth Avenue, Buffalo, NY 14216, USA",Buffalo,NY,USA,132992,
299,"26 Delham Avenue, Unit 2 UPPER",Buffalo,NY,USA,128836,128836
300,"56 Plymouth Avenue, Buffalo, NY 14201, USA",Buffalo,NY,USA,224424,
301,"49 Cottage St, Unit 1",Buffalo,NY,USA,145460,145460
302,"Buffalo, NY",Buffalo,NY,USA,359079,
303,"Buffalo, NY",Buffalo,NY,USA,281777,
304,"445 Ashland Avenue, Buffalo, NY 14222, USA",Buffalo,NY,USA,166240,
305,"58 Trinity Place, Buffalo, NY 14201, USA",Buffalo,NY,USA,66496,
306,"383 Victoria Boulevard, Buffalo, NY 14217, USA",Buffalo,NY,USA,116368,
307,"371 Riverside Avenue, Buffalo, NY 14207, USA",Buffalo,NY,USA,83120,
308,"Buffalo, NY",Buffalo,NY,USA,336636,
309,"Buffalo, NY",Buffalo,NY,USA,311700,
310,"Buffalo, NY",Buffalo,NY,USA,1748014,
311,"152 Oxford Avenue, Buffalo, NY 14209, USA",Buffalo,NY,USA,182864,
312,"Buffalo, NY",Buffalo,NY,USA,678260,
313,"93 Fredro Street, Buffalo, NY 14206, USA",Buffalo,NY,USA,116368,
314,"104 Richmond Avenue, Buffalo, NY 14222, USA",Buffalo,NY,USA,324168,
315,"Buffalo, NY",Buffalo,NY,USA,528644,
316,"Buffalo, NY",Buffalo,NY,USA,204476,
317,"6 Stratford Rd, Unit Lower",Buffalo,NY,USA,140889,140889
318,"Buffalo, NY",Buffalo,NY,USA,271803,
319,"524 Richmond Avenue, Buffalo, NY 14222, USA",Buffalo,NY,USA,124680,
320,"Buffalo, NY",Buffalo,NY,USA,675766,
321,"215 West Utica Street, Buffalo, NY 14222, USA",Buffalo,NY,USA,70652,
322,"102 Mulberry Street, Buffalo, NY 14204, USA",Buffalo,NY,USA,99744,
323,"Buffalo, NY, 14222",Buffalo,NY,USA,189514,
324,621 e north st,Buffalo,NY,USA,74393,74393
325,110 Elm St,Buffalo,NY,USA,122602,249360
326,"891 Richmond Avenue, Buffalo, NY 14222, USA",Buffalo,NY,USA,155850,
327,"78 Kirkwood Drive, Buffalo, NY 14224, USA",Buffalo,NY,USA,128836,
328,"Lakeview, Fort Erie, ON L2A 5K8, Canada",Buffalo,NY,USA,1006251,
329,"Buffalo, NY",Buffalo,NY,USA,875254,
330,"Buffalo, NY",Buffalo,NY,USA,979985,
331,"Buffalo, NY",Buffalo,NY,USA,680753,
332,183 Florida St,Buffalo,NY,USA,62340,62340
333,"70 Rickert Avenue, Buffalo, NY 14211, USA",Buffalo,NY,USA,124680,
334,"46 Roanoke Parkway, Buffalo, NY 14210, USA",Buffalo,NY,USA,91432,
335,"Buffalo, NY",Buffalo,NY,USA,326662,
336,"71 Dewitt Street, Buffalo, NY 14213, USA",Buffalo,NY,USA,116368,
337,"1560 Elmwood Avenue, Buffalo, NY 14207, USA",Buffalo,NY,USA,140889,
338,"Buffalo, NY",Buffalo,NY,USA,349104,
339,"Buffalo, NY",Buffalo,NY,USA,1688168,
340,"455 Franklin Street, Buffalo, NY 14202, USA Unit 5",Buffalo,NY,USA,74393,
341,"Buffalo, NY",Buffalo,NY,USA,164578,
342,"Buffalo, NY",Buffalo,NY,USA,623400,
343,"Buffalo, NY",Buffalo,NY,USA,436380,
344,"235 Potomac Avenue, Buffalo, NY 14213, USA",Buffalo,NY,USA,94342,
345,"Buffalo, NY",Buffalo,NY,USA,418925,
346,"Buffalo, NY",Buffalo,NY,USA,498720,
347,"70 Tracy Street, Buffalo, NY 14201, USA",Buffalo,NY,USA,124265,
348,"918 Main Street, Buffalo, NY 14202, USA",Buffalo,NY,USA,157928,
349,"Buffalo, NY",Buffalo,NY,USA,685740,
350,"Buffalo, NY",Buffalo,NY,USA,618413,
351,"Buffalo, NY",Buffalo,NY,USA,311700,
352,"Buffalo, NY",Buffalo,NY,USA,473784,
353,"Buffalo, NY",Buffalo,NY,USA,236892,
354,"302 Plymouth Avenue, Buffalo, NY 14213, USA",Buffalo,NY,USA,132992,
355,"452 Franklin Street, Buffalo, NY 14202, USA",Buffalo,NY,USA,99744,
356,"Buffalo, NY",Buffalo,NY,USA,478772,
357,"140 Seymour Street, Buffalo, NY 14210, USA",Buffalo,NY,USA,149616,
358,"20 Medford Place, Unit Lower",Buffalo,NY,USA,116368,
359,341 Wabash Ave,Buffalo,NY,USA,379028,
360,"224 Hartwell Road, Buffalo, NY 14216, USA",Buffalo,NY,USA,124680,
361,"360 Hoyt Street, Buffalo, NY 14213, USA",Buffalo,NY,USA,128836,
362,"Buffalo, NY",Buffalo,NY,USA,528644,
363,"The Delaware Tower Parking Garage, Highland Avenue, Buffalo, NY 14222, USA",Buffalo,NY,USA,132992,
364,"Buffalo, NY",Buffalo,NY,USA,623400,
365,"949 Delaware Avenue, Buffalo, NY 14209, USA",Buffalo,NY,USA,182449,
366,"655 Lafayette Avenue, Buffalo, NY 14222, USA",Buffalo,NY,USA,216112,
367,"91 Grant Street, Buffalo, NY 14213, USA",Buffalo,NY,USA,91432,
368,"66 Tracy Street, Buffalo, NY 14201, USA",Buffalo,NY,USA,99744,
369,"Buffalo, NY",Buffalo,NY,USA,526150,
370,"1261 Ridge Road, Buffalo, NY 14218, USA",Buffalo,NY,USA,108056,
371,"Buffalo, NY",Buffalo,NY,USA,309207,
372,"44 North Pearl Street, Buffalo, NY 14202, USA",Buffalo,NY,USA,68574,
373,"Buffalo, NY",Buffalo,NY,USA,209463,
374,"Buffalo, NY",Buffalo,NY,USA,344117,
375,267 Davidson Avenue,Buffalo,NY,USA,124680,124680
376,"166 York Street, Buffalo, NY 14213, USA Unit 1",Buffalo,NY,USA,137148,
377,"32 Tracy Street, Buffalo, NY 14201, USA",Buffalo,NY,USA,140889,
378,"71 Downing Street, Buffalo, NY 14220, USA",Buffalo,NY,USA,124680,
379,"618 Minnesota Avenue, Buffalo, NY 14215, USA",Buffalo,NY,USA,95588,
380,"Buffalo, NY",Buffalo,NY,USA,246867,
381,"65 Eagan Drive, Buffalo, NY 14218, USA",Buffalo,NY,USA,78964,
